offer_id,extraction_date,lat,lng,area_m2,furnished,zip_code,main_category,rooms,build_year,state,city,sub_category,balcony,heat_type,offer_title,kitchen,rent_price,garden
45851119,2021-11-10 05:15:08,50.934419769422945,7.060430290354939,62.0,1,51109.0,Wohnung,2.0,2019.0,Nordrhein-Westfalen,Köln,Wohnung,1,,Neuwertige 2 Zimmer Wohnung mit Balkon und Einbauküche,1,960.0,0
44016122,2021-11-10 05:15:08,52.44528,13.2934,35.0,1,12205.0,Wohnung,1.0,,Berlin,Berlin,Apartment,0,,Möblierte Zimmer - Gemeinschaftsbereiche,1,649.0,0
45720060,2021-11-10 05:15:08,48.17237,11.5757,23.11,1,80804.0,Wohnung,1.0,,Bayern,München,Wohnung,1,,Möbliertes 1-Zimmer-Apartment in Schwabing,1,880.0,1
45621756,2021-11-10 05:15:08,53.61026340802959,9.94150041979876,60.11,1,22523.0,Wohnung,2.0,2015.0,Hamburg,Hamburg,Dachgeschosswohnung,0,Zentralheizung,Dachgeschosswohnung mit hochwertiger Ausstattung,1,843.0,0
44966410,2021-11-10 05:15:08,51.089961730476176,13.729180415431475,75.98,1,1127.0,Wohnung,3.0,2020.0,Sachsen,Dresden,Wohnung,1,,antaris Immobilien Dresden GmbH ** Interessante Ausstattung - 3-Raum-Wohnung  **,0,873.0,0
44016141,2021-11-10 05:15:08,52.44526,13.29341,22.0,1,12205.0,Wohnung,1.0,,Berlin,Berlin,Apartment,0,,Möblierte Zimmer - Gemeinschaftsbereiche,1,639.0,0
44507680,2021-11-10 05:15:08,51.29905286639582,6.739561212178325,138.0,1,40489.0,Wohnung,4.0,1983.0,Nordrhein-Westfalen,Düsseldorf,Maisonette,1,,Zentral gelegene 4 Zimmer-Maisonettewohnung mit großzügigem Sonnenbalkon in bester Wohnlage!,0,1790.0,0
45720101,2021-11-10 05:15:08,50.93762,6.97336,70.0,1,50679.0,Wohnung,2.0,,Nordrhein-Westfalen,Köln,Etagenwohnung,1,Zentralheizung,Gut aufgeteilte 2 Zimmer mit SW Balkon,0,800.0,0
45720107,2021-11-10 05:15:08,51.44374,7.03545,25.5,1,45136.0,Wohnung,1.0,1958.0,Nordrhein-Westfalen,Essen,Wohnung,1,Zentralheizung,Helle 1-Zimmer-Wohnung mit Balkon,0,295.0,0
45818422,2021-11-10 05:15:08,48.778744055009,9.181334800852389,110.0,1,70184.0,Wohnung,4.0,1936.0,Baden-Württemberg,Stuttgart,Etagenwohnung,1,Zentralheizung,Großzügige & komfortable Wohnung idyllisch in Stuttgart,1,1820.0,0
45818425,2021-11-10 05:15:08,48.778744055009,9.181334800852389,70.88,1,70184.0,Wohnung,3.0,1936.0,Baden-Württemberg,Stuttgart,Dachgeschosswohnung,0,Zentralheizung,Wohnung mit Garten & mit Blick auf den Fernsehturm,0,1220.0,1
40280634,2021-11-10 05:15:08,53.49929,10.00049,19.2,1,21109.0,Wohnung,1.0,2017.0,Hamburg,Hamburg,Etagenwohnung,0,Zentralheizung,Voll möblierte Apartments für Studierende und Azubis in Hamburg zur All-in-Miete!,1,479.0,1
